               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076144,            0.019612,            0.040256,             0.34199,             0.23412,             0.63779,             0.28873,            0.097139,            0.053721,            0.015316,             0.03294,             0.27978,             0.00112,             0.00112,             0.08992
                   1,            0.059193,            0.014443,            0.028262,             0.24851,             0.57272,             0.65201,             0.56051,             0.18936,            0.053778,            0.010029,            0.020409,             0.22049,             0.00225,             0.00225,             0.07975
                   2,            0.061101,            0.010033,            0.018167,             0.20848,             0.38195,             0.69668,             0.46734,             0.14316,            0.048975,           0.0073998,            0.012565,             0.20198,             0.00338,             0.00338,             0.06958
                   3,            0.057498,           0.0082637,            0.011882,             0.19875,             0.62095,             0.67163,             0.63837,             0.21846,            0.041509,           0.0060513,           0.0094784,             0.19584,           0.0045099,           0.0045099,             0.05941
                   4,            0.062523,           0.0071177,            0.010154,             0.19593,             0.25345,              0.5831,             0.37777,             0.11539,            0.066675,           0.0051155,           0.0070608,             0.19395,           0.0056398,           0.0056398,             0.04924
                   5,            0.062948,           0.0065407,            0.008728,             0.19461,             0.45419,              0.5885,             0.49229,             0.15552,              0.0525,           0.0049789,            0.007646,             0.19281,           0.0067697,           0.0067697,             0.03907
                   6,            0.057382,           0.0062659,           0.0082865,             0.19192,             0.57863,             0.66502,             0.67302,             0.26122,            0.052416,           0.0046909,           0.0062553,              0.1888,           0.0078994,           0.0078994,            0.028899
                   7,            0.055452,            0.006105,           0.0086005,             0.18759,             0.57262,             0.67009,              0.6062,             0.25759,            0.047959,           0.0050037,            0.012361,             0.18413,           0.0090291,           0.0090291,            0.018729
                   8,            0.053953,           0.0059229,           0.0079529,             0.18137,               0.587,             0.73871,              0.6054,             0.21315,            0.045956,           0.0046877,           0.0073824,             0.17793,           0.0099987,           0.0099987,           0.0099987
                   9,            0.053372,           0.0057724,           0.0071025,             0.17327,             0.60935,             0.72244,             0.67821,             0.29489,            0.044831,           0.0042127,           0.0092194,              0.1665,           0.0099987,           0.0099987,           0.0099987
                  10,            0.054034,           0.0056637,           0.0065975,             0.16429,             0.65574,             0.78204,              0.6975,             0.28924,            0.046622,            0.004335,            0.004885,             0.15829,           0.0099984,           0.0099984,           0.0099984
